sourcePath,sourceRelativePath,sourceSha256,sourceHadNoAlpha,preset,preserveSourceDimensions,targetContentHeight,status,skippedReason,outputPath,outputSha256,sourceSize,sourceBoundingBox,scaleRatio,contentSize,outputSize,outputBoundingBox,contentBoundingBox,bottomCenterAnchor,normalizedPivotX,normalizedPivotY,requestedColors,actualColors,requestedPaletteColorCount,actualPaletteColorCount,opaquePixelCount,transparentPixelCount,sourceUniqueColorEstimate,outputUniqueColorCount,alphaValues,elapsedMilliseconds,warningCodes,errorMessage,algorithmVersion,presetConfigHash,saturationPreset,saturationMultiplier,saturationAdjustedPixelCount,saturationClampedPixelCount
E:\mercenary-rpg\asset_work\character_sources\G_g_bearkin_female_001_곰수인_여성_프리셋_001_0001.png,G_g_bearkin_female_001_곰수인_여성_프리셋_001_0001.png,da4a80649b58fb2bca911711e2e80557528a93880959d084562ac458404d8943,True,website_master,True,,WARNING,,E:\mercenary-rpg\asset_work\character_pixelized\website_master\G_g_bearkin_female_001_곰수인_여성_프리셋_001_0001.png,dbad053e06148d4b390932183bbb9ca229119028bb570913cc291d0e01b57d21,"[1664,2432]","[0,0,1664,2432]",1.0,"[1664,2432]","[1674,2442]","[5,6,1667,2436]","[5,6,1667,2436]","[837.0,2436.0]",0.5,0.9975429975429976,16,16,16,16,4038660,49248,12340,16,"[0,255]",6325.821,"[""SOURCE_HAS_NO_ALPHA"",""BOUNDING_BOX_TOUCHES_EDGE""]",,mercenary-pixel-convert-1.0.0,d9f65e9f487237e86a6f80df6c266cc1226f40a6935d8f746867e0be08b4e8ce,high,1.35,30529,376
E:\mercenary-rpg\asset_work\character_sources\G_g_bearkin_male_001_곰수인_남성_프리셋_001_0001.png,G_g_bearkin_male_001_곰수인_남성_프리셋_001_0001.png,3a7ce53ff54397363cda78881bd5b1609ebc335a36c51ee48f879ecd6c0d3598,True,website_master,True,,WARNING,,E:\mercenary-rpg\asset_work\character_pixelized\website_master\G_g_bearkin_male_001_곰수인_남성_프리셋_001_0001.png,94dfb622496042b929bef80eb1fc836d1d17bec60eee4976752d7d16ba867242,"[1664,2432]","[0,0,1664,2432]",1.0,"[1664,2432]","[1674,2442]","[5,6,1667,2436]","[5,6,1667,2436]","[837.0,2436.0]",0.5,0.9975429975429976,16,16,16,16,4038660,49248,18039,16,"[0,255]",6064.799,"[""SOURCE_HAS_NO_ALPHA"",""BOUNDING_BOX_TOUCHES_EDGE""]",,mercenary-pixel-convert-1.0.0,d9f65e9f487237e86a6f80df6c266cc1226f40a6935d8f746867e0be08b4e8ce,high,1.35,50066,342
E:\mercenary-rpg\asset_work\character_sources\G_g_catkin_female_001_고양이수인_여성_프리셋_001_0001.png,G_g_catkin_female_001_고양이수인_여성_프리셋_001_0001.png,0f87b6d00c538e3a3f9eb18b9b308e3e824ce380817cc6e423baf0990d1ecfd1,True,website_master,True,,WARNING,,E:\mercenary-rpg\asset_work\character_pixelized\website_master\G_g_catkin_female_001_고양이수인_여성_프리셋_001_0001.png,92c026c5e867f6b391595bfb2d2f88b728462d8a258cfa3700e7f3faa34404df,"[1664,2432]","[0,0,1664,2432]",1.0,"[1664,2432]","[1674,2442]","[5,6,1667,2436]","[5,6,1667,2436]","[837.0,2436.0]",0.5,0.9975429975429976,16,16,16,16,4038660,49248,10132,16,"[0,255]",5920.86,"[""SOURCE_HAS_NO_ALPHA"",""BOUNDING_BOX_TOUCHES_EDGE""]",,mercenary-pixel-convert-1.0.0,d9f65e9f487237e86a6f80df6c266cc1226f40a6935d8f746867e0be08b4e8ce,high,1.35,22108,417
E:\mercenary-rpg\asset_work\character_sources\G_g_catkin_male_001_고양이수인_남성_프리셋_001_0001.png,G_g_catkin_male_001_고양이수인_남성_프리셋_001_0001.png,11c240756d6202517f8f69e7e974ab1d5e01309affe0f41e3be17f0521d7b7ba,True,website_master,True,,WARNING,,E:\mercenary-rpg\asset_work\character_pixelized\website_master\G_g_catkin_male_001_고양이수인_남성_프리셋_001_0001.png,e5841d1cc8eaa6316f12444576b4f3fd6cf39e1d6d750edf58afc1aa56e162f2,"[1664,2432]","[0,0,1664,2432]",1.0,"[1664,2432]","[1674,2442]","[5,6,1667,2436]","[5,6,1667,2436]","[837.0,2436.0]",0.5,0.9975429975429976,16,16,16,16,4038660,49248,12163,16,"[0,255]",5785.161,"[""SOURCE_HAS_NO_ALPHA"",""BOUNDING_BOX_TOUCHES_EDGE""]",,mercenary-pixel-convert-1.0.0,d9f65e9f487237e86a6f80df6c266cc1226f40a6935d8f746867e0be08b4e8ce,high,1.35,29673,252
E:\mercenary-rpg\asset_work\character_sources\G_g_centaur_female_001_켄타우로스_여성_프리셋_001_0001.png,G_g_centaur_female_001_켄타우로스_여성_프리셋_001_0001.png,9db876a3fef8796afada6f6706aa0bd4bd448b6c0c18aaf3bebad9e02f5c2ccc,True,website_master,True,,WARNING,,E:\mercenary-rpg\asset_work\character_pixelized\website_master\G_g_centaur_female_001_켄타우로스_여성_프리셋_001_0001.png,e0c7cd751aa7e9b31466e8ddc1ce7ee57891d9247ca28095d95626de73a4bbe8,"[1664,2432]","[0,0,1664,2432]",1.0,"[1664,2432]","[1674,2442]","[5,6,1667,2436]","[5,6,1667,2436]","[837.0,2436.0]",0.5,0.9975429975429976,16,16,16,16,4038660,49248,14781,16,"[0,255]",5374.617,"[""SOURCE_HAS_NO_ALPHA"",""BOUNDING_BOX_TOUCHES_EDGE""]",,mercenary-pixel-convert-1.0.0,d9f65e9f487237e86a6f80df6c266cc1226f40a6935d8f746867e0be08b4e8ce,high,1.35,34876,696
E:\mercenary-rpg\asset_work\character_sources\G_g_centaur_male_001_켄타우로스_남성_프리셋_001_0001.png,G_g_centaur_male_001_켄타우로스_남성_프리셋_001_0001.png,9c296d122e68ff9005f77083a27faf0f6d4c273b34321dfbe6b4f86b7a807270,True,website_master,True,,WARNING,,E:\mercenary-rpg\asset_work\character_pixelized\website_master\G_g_centaur_male_001_켄타우로스_남성_프리셋_001_0001.png,2dbae5929b5c1ad89f76fbe3f216cc6b47e020452c301578ebc92daf734de4b1,"[1664,2432]","[0,0,1664,2432]",1.0,"[1664,2432]","[1674,2442]","[5,6,1667,2436]","[5,6,1667,2436]","[837.0,2436.0]",0.5,0.9975429975429976,16,16,16,16,4038660,49248,8551,16,"[0,255]",5388.524,"[""SOURCE_HAS_NO_ALPHA"",""BOUNDING_BOX_TOUCHES_EDGE""]",,mercenary-pixel-convert-1.0.0,d9f65e9f487237e86a6f80df6c266cc1226f40a6935d8f746867e0be08b4e8ce,high,1.35,34603,574
E:\mercenary-rpg\asset_work\character_sources\G_g_deerkin_female_001_사슴수인_여성_프리셋_001_0001.png,G_g_deerkin_female_001_사슴수인_여성_프리셋_001_0001.png,82e5af9f27f32f1cd9e46f3f6ecd5f7d8bfac705aeb304283fd1137b3ad6a81d,True,website_master,True,,WARNING,,E:\mercenary-rpg\asset_work\character_pixelized\website_master\G_g_deerkin_female_001_사슴수인_여성_프리셋_001_0001.png,1dc46104c96c3b75d338c73a83f32b387cc9191dc2933d83e8bb99bd75e9d1a0,"[1664,2432]","[0,0,1664,2432]",1.0,"[1664,2432]","[1674,2442]","[5,6,1667,2436]","[5,6,1667,2436]","[837.0,2436.0]",0.5,0.9975429975429976,16,16,16,16,4038660,49248,12042,16,"[0,255]",5315.54,"[""SOURCE_HAS_NO_ALPHA"",""BOUNDING_BOX_TOUCHES_EDGE""]",,mercenary-pixel-convert-1.0.0,d9f65e9f487237e86a6f80df6c266cc1226f40a6935d8f746867e0be08b4e8ce,high,1.35,22533,167
E:\mercenary-rpg\asset_work\character_sources\G_g_deerkin_male_001_사슴수인_남성_프리셋_001_0001.png,G_g_deerkin_male_001_사슴수인_남성_프리셋_001_0001.png,0a57084147d6cf1f054a017628dd8fa2982a23be5f0f9bd9e37090abf2412a1b,True,website_master,True,,WARNING,,E:\mercenary-rpg\asset_work\character_pixelized\website_master\G_g_deerkin_male_001_사슴수인_남성_프리셋_001_0001.png,6c645076e91117d49bbf5e8e6f4eef12c9a89ec0b7ef6aac858d5b1dfbd3111d,"[1664,2432]","[0,0,1664,2432]",1.0,"[1664,2432]","[1674,2442]","[5,6,1667,2436]","[5,6,1667,2436]","[837.0,2436.0]",0.5,0.9975429975429976,16,16,16,16,4038660,49248,15461,16,"[0,255]",5299.726,"[""SOURCE_HAS_NO_ALPHA"",""BOUNDING_BOX_TOUCHES_EDGE""]",,mercenary-pixel-convert-1.0.0,d9f65e9f487237e86a6f80df6c266cc1226f40a6935d8f746867e0be08b4e8ce,high,1.35,33589,194
