sourcePath,sourceRelativePath,sourceSha256,sourceHadNoAlpha,preset,preserveSourceDimensions,targetContentHeight,status,skippedReason,outputPath,outputSha256,sourceSize,sourceBoundingBox,scaleRatio,contentSize,outputSize,outputBoundingBox,contentBoundingBox,bottomCenterAnchor,normalizedPivotX,normalizedPivotY,requestedColors,actualColors,requestedPaletteColorCount,actualPaletteColorCount,opaquePixelCount,transparentPixelCount,sourceUniqueColorEstimate,outputUniqueColorCount,alphaValues,elapsedMilliseconds,warningCodes,errorMessage,algorithmVersion,presetConfigHash,saturationPreset,saturationMultiplier,saturationAdjustedPixelCount,saturationClampedPixelCount
E:\mercenary-rpg\asset_work\character_sources\G_g_bearkin_female_001_곰수인_여성_프리셋_001_0001.png,G_g_bearkin_female_001_곰수인_여성_프리셋_001_0001.png,da4a80649b58fb2bca911711e2e80557528a93880959d084562ac458404d8943,True,website_master,True,,WARNING,,E:\mercenary-rpg\asset_work\character_pixelized\website_master\G_g_bearkin_female_001_곰수인_여성_프리셋_001_0001.png,31212a50cab83af7cb9b4ff6bd09b9c67878d73e85833d47564f4e22a2582281,"[1664,2432]","[0,0,1664,2432]",1.0,"[1664,2432]","[1672,2440]","[4,4,1668,2436]","[4,4,1668,2436]","[836.0,2436.0]",0.5,0.9983606557377049,16,16,16,16,4046848,32832,12340,16,"[0,255]",4825.791,"[""SOURCE_HAS_NO_ALPHA"",""BOUNDING_BOX_TOUCHES_EDGE""]",,mercenary-pixel-convert-1.0.0,fc1237e18230d800f73026ad09d2f6ad1e2bc7cdd7aaaf3c065762e80be84af9,high,1.35,17443,262
E:\mercenary-rpg\asset_work\character_sources\G_g_bearkin_male_001_곰수인_남성_프리셋_001_0001.png,G_g_bearkin_male_001_곰수인_남성_프리셋_001_0001.png,3a7ce53ff54397363cda78881bd5b1609ebc335a36c51ee48f879ecd6c0d3598,True,website_master,True,,WARNING,,E:\mercenary-rpg\asset_work\character_pixelized\website_master\G_g_bearkin_male_001_곰수인_남성_프리셋_001_0001.png,a6d7d455a8ca9c3307c3d609c99d2a0891b23b69b9c7b53a55baf16abf586ddb,"[1664,2432]","[0,0,1664,2432]",1.0,"[1664,2432]","[1672,2440]","[4,4,1668,2436]","[4,4,1668,2436]","[836.0,2436.0]",0.5,0.9983606557377049,16,16,16,16,4046848,32832,18039,16,"[0,255]",4772.805,"[""SOURCE_HAS_NO_ALPHA"",""BOUNDING_BOX_TOUCHES_EDGE""]",,mercenary-pixel-convert-1.0.0,fc1237e18230d800f73026ad09d2f6ad1e2bc7cdd7aaaf3c065762e80be84af9,high,1.35,27931,204
E:\mercenary-rpg\asset_work\character_sources\G_g_catkin_female_001_고양이수인_여성_프리셋_001_0001.png,G_g_catkin_female_001_고양이수인_여성_프리셋_001_0001.png,0f87b6d00c538e3a3f9eb18b9b308e3e824ce380817cc6e423baf0990d1ecfd1,True,website_master,True,,WARNING,,E:\mercenary-rpg\asset_work\character_pixelized\website_master\G_g_catkin_female_001_고양이수인_여성_프리셋_001_0001.png,139d1fae2579bc8a75338a9c55963a11b64e6447df9773ad7923ca5ece2784a6,"[1664,2432]","[0,0,1664,2432]",1.0,"[1664,2432]","[1672,2440]","[4,4,1668,2436]","[4,4,1668,2436]","[836.0,2436.0]",0.5,0.9983606557377049,16,16,16,16,4046848,32832,10132,16,"[0,255]",4781.182,"[""SOURCE_HAS_NO_ALPHA"",""BOUNDING_BOX_TOUCHES_EDGE""]",,mercenary-pixel-convert-1.0.0,fc1237e18230d800f73026ad09d2f6ad1e2bc7cdd7aaaf3c065762e80be84af9,high,1.35,12581,283
E:\mercenary-rpg\asset_work\character_sources\G_g_catkin_male_001_고양이수인_남성_프리셋_001_0001.png,G_g_catkin_male_001_고양이수인_남성_프리셋_001_0001.png,11c240756d6202517f8f69e7e974ab1d5e01309affe0f41e3be17f0521d7b7ba,True,website_master,True,,WARNING,,E:\mercenary-rpg\asset_work\character_pixelized\website_master\G_g_catkin_male_001_고양이수인_남성_프리셋_001_0001.png,02c756cadfd3f337d5bbce70141466ca0f85b365e6cc85d27d1ef7105b4e16e1,"[1664,2432]","[0,0,1664,2432]",1.0,"[1664,2432]","[1672,2440]","[4,4,1668,2436]","[4,4,1668,2436]","[836.0,2436.0]",0.5,0.9983606557377049,16,16,16,16,4046848,32832,12163,16,"[0,255]",4788.293,"[""SOURCE_HAS_NO_ALPHA"",""BOUNDING_BOX_TOUCHES_EDGE""]",,mercenary-pixel-convert-1.0.0,fc1237e18230d800f73026ad09d2f6ad1e2bc7cdd7aaaf3c065762e80be84af9,high,1.35,16472,158
E:\mercenary-rpg\asset_work\character_sources\G_g_centaur_female_001_켄타우로스_여성_프리셋_001_0001.png,G_g_centaur_female_001_켄타우로스_여성_프리셋_001_0001.png,9db876a3fef8796afada6f6706aa0bd4bd448b6c0c18aaf3bebad9e02f5c2ccc,True,website_master,True,,WARNING,,E:\mercenary-rpg\asset_work\character_pixelized\website_master\G_g_centaur_female_001_켄타우로스_여성_프리셋_001_0001.png,e7d8d1d3f85af61401c0110509bf597521bea9f9788a6e83a60e764319dcbd69,"[1664,2432]","[0,0,1664,2432]",1.0,"[1664,2432]","[1672,2440]","[4,4,1668,2436]","[4,4,1668,2436]","[836.0,2436.0]",0.5,0.9983606557377049,16,16,16,16,4046848,32832,14781,16,"[0,255]",5573.459,"[""SOURCE_HAS_NO_ALPHA"",""BOUNDING_BOX_TOUCHES_EDGE""]",,mercenary-pixel-convert-1.0.0,fc1237e18230d800f73026ad09d2f6ad1e2bc7cdd7aaaf3c065762e80be84af9,high,1.35,20188,402
E:\mercenary-rpg\asset_work\character_sources\G_g_centaur_male_001_켄타우로스_남성_프리셋_001_0001.png,G_g_centaur_male_001_켄타우로스_남성_프리셋_001_0001.png,9c296d122e68ff9005f77083a27faf0f6d4c273b34321dfbe6b4f86b7a807270,True,website_master,True,,WARNING,,E:\mercenary-rpg\asset_work\character_pixelized\website_master\G_g_centaur_male_001_켄타우로스_남성_프리셋_001_0001.png,210bc692da2d5dd5b58f30603e3a0ff3c2fbf433e4af759c631a4dbb41287ab4,"[1664,2432]","[0,0,1664,2432]",1.0,"[1664,2432]","[1672,2440]","[4,4,1668,2436]","[4,4,1668,2436]","[836.0,2436.0]",0.5,0.9983606557377049,16,16,16,16,4046848,32832,8551,16,"[0,255]",5650.948,"[""SOURCE_HAS_NO_ALPHA"",""BOUNDING_BOX_TOUCHES_EDGE""]",,mercenary-pixel-convert-1.0.0,fc1237e18230d800f73026ad09d2f6ad1e2bc7cdd7aaaf3c065762e80be84af9,high,1.35,19626,372
E:\mercenary-rpg\asset_work\character_sources\G_g_deerkin_female_001_사슴수인_여성_프리셋_001_0001.png,G_g_deerkin_female_001_사슴수인_여성_프리셋_001_0001.png,82e5af9f27f32f1cd9e46f3f6ecd5f7d8bfac705aeb304283fd1137b3ad6a81d,True,website_master,True,,WARNING,,E:\mercenary-rpg\asset_work\character_pixelized\website_master\G_g_deerkin_female_001_사슴수인_여성_프리셋_001_0001.png,2cd30f0638f705a5536acc00fcd4a84ea2c800a86d27b25587fc3f554f6c4db2,"[1664,2432]","[0,0,1664,2432]",1.0,"[1664,2432]","[1672,2440]","[4,4,1668,2436]","[4,4,1668,2436]","[836.0,2436.0]",0.5,0.9983606557377049,16,16,16,16,4046848,32832,12042,16,"[0,255]",5584.196,"[""SOURCE_HAS_NO_ALPHA"",""BOUNDING_BOX_TOUCHES_EDGE""]",,mercenary-pixel-convert-1.0.0,fc1237e18230d800f73026ad09d2f6ad1e2bc7cdd7aaaf3c065762e80be84af9,high,1.35,12804,116
E:\mercenary-rpg\asset_work\character_sources\G_g_deerkin_male_001_사슴수인_남성_프리셋_001_0001.png,G_g_deerkin_male_001_사슴수인_남성_프리셋_001_0001.png,0a57084147d6cf1f054a017628dd8fa2982a23be5f0f9bd9e37090abf2412a1b,True,website_master,True,,WARNING,,E:\mercenary-rpg\asset_work\character_pixelized\website_master\G_g_deerkin_male_001_사슴수인_남성_프리셋_001_0001.png,16820893d1ec96913fb2a544bb714ca5f987ed33cacad0d88d2ca390af05b990,"[1664,2432]","[0,0,1664,2432]",1.0,"[1664,2432]","[1672,2440]","[4,4,1668,2436]","[4,4,1668,2436]","[836.0,2436.0]",0.5,0.9983606557377049,16,16,16,16,4046848,32832,15461,16,"[0,255]",5570.776,"[""SOURCE_HAS_NO_ALPHA"",""BOUNDING_BOX_TOUCHES_EDGE""]",,mercenary-pixel-convert-1.0.0,fc1237e18230d800f73026ad09d2f6ad1e2bc7cdd7aaaf3c065762e80be84af9,high,1.35,20287,96
