sourcePath,sourceRelativePath,sourceSha256,sourceHadNoAlpha,preset,preserveSourceDimensions,targetContentHeight,status,skippedReason,outputPath,outputSha256,sourceSize,sourceBoundingBox,scaleRatio,contentSize,outputSize,outputBoundingBox,contentBoundingBox,bottomCenterAnchor,normalizedPivotX,normalizedPivotY,requestedColors,actualColors,requestedPaletteColorCount,actualPaletteColorCount,opaquePixelCount,transparentPixelCount,sourceUniqueColorEstimate,outputUniqueColorCount,alphaValues,elapsedMilliseconds,warningCodes,errorMessage,algorithmVersion,presetConfigHash,saturationPreset,saturationMultiplier,saturationAdjustedPixelCount,saturationClampedPixelCount
E:\mercenary-rpg\asset_work\character_sources\SR_sr_magitech_runaway_mechanic_ion_폭주정비사_이온_0001_transparent.png,SR_sr_magitech_runaway_mechanic_ion_폭주정비사_이온_0001_transparent.png,14ed0e9e432ca9b0eb5cd4ee95185e6a8cf1f1023acc384cd59ab72303cab522,False,website_master,True,,WARNING,,E:\mercenary-rpg\asset_work\character_pixelized\website_master\SR_sr_magitech_runaway_mechanic_ion_폭주정비사_이온_0001_transparent.png,8f97b18c0acbcde592dab82534e9f1be4b53ef4a183791b124db760aa2cfc86b,"[1664,2432]","[60,0,1593,2424]",1.0,"[1533,2424]","[1542,2436]","[4,8,1534,2432]","[4,8,1534,2432]","[771.0,2432.0]",0.5,0.9983579638752053,16,16,16,16,1678392,2077920,52338,16,"[0,255]",3762.808,"[""BOUNDING_BOX_TOUCHES_EDGE""]",,mercenary-pixel-convert-1.0.0,d9f65e9f487237e86a6f80df6c266cc1226f40a6935d8f746867e0be08b4e8ce,high,1.35,44339,1176
E:\mercenary-rpg\asset_work\character_sources\SR_sr_mana_addict_elf_renette_마나_중독_추심관_레네트_0001_transparent.png,SR_sr_mana_addict_elf_renette_마나_중독_추심관_레네트_0001_transparent.png,ccd51cbae46771fe8a5a62b06009f05e55940b4fbb3f68ac515d21f1421f30fb,False,website_master,True,,PASS,,E:\mercenary-rpg\asset_work\character_pixelized\website_master\SR_sr_mana_addict_elf_renette_마나_중독_추심관_레네트_0001_transparent.png,4be80e0825e251b52a3ef87d3f2709882032bf408f07c64ced067d2560e3864d,"[1664,2432]","[76,32,1528,2423]",1.0,"[1452,2391]","[1464,2400]","[6,5,1458,2393]","[6,5,1458,2393]","[732.0,2393.0]",0.5,0.9970833333333333,16,16,16,16,1532304,1981296,36864,16,"[0,255]",3388.158,[],,mercenary-pixel-convert-1.0.0,d9f65e9f487237e86a6f80df6c266cc1226f40a6935d8f746867e0be08b4e8ce,high,1.35,41680,4305
E:\mercenary-rpg\asset_work\character_sources\SR_sr_merfolk_abyss_contract_broker_sirena_심해계약_중개인_시레나_0001_transparent.png,SR_sr_merfolk_abyss_contract_broker_sirena_심해계약_중개인_시레나_0001_transparent.png,8dace5308f8c5d96fe0230a1668295254f2adc56829d8553adfad5c91dd85ad5,False,website_master,True,,WARNING,,E:\mercenary-rpg\asset_work\character_pixelized\website_master\SR_sr_merfolk_abyss_contract_broker_sirena_심해계약_중개인_시레나_0001_transparent.png,8229f941f825f70c4716cd03f98f724177bfe581376f050b68a67dd78e07ac76,"[1664,2432]","[201,34,1483,2432]",1.0,"[1282,2398]","[1290,2406]","[4,4,1286,2402]","[4,4,1286,2402]","[645.0,2402.0]",0.5,0.99833748960931,16,16,16,16,1214496,1889244,43629,16,"[0,255]",2701.353,"[""BOUNDING_BOX_TOUCHES_EDGE""]",,mercenary-pixel-convert-1.0.0,d9f65e9f487237e86a6f80df6c266cc1226f40a6935d8f746867e0be08b4e8ce,high,1.35,32499,308
E:\mercenary-rpg\asset_work\character_sources\SR_sr_merfolk_tsunami_scribe_lorelei_해일서기_로렐라이_0001_transparent.png,SR_sr_merfolk_tsunami_scribe_lorelei_해일서기_로렐라이_0001_transparent.png,70e291f059a1b7da146eb6bb248819b3ed8e199dd7057ad56a7e8b01d5c244a1,False,website_master,True,,PASS,,E:\mercenary-rpg\asset_work\character_pixelized\website_master\SR_sr_merfolk_tsunami_scribe_lorelei_해일서기_로렐라이_0001_transparent.png,09d38306848dacf4af03dfa7c9371a7da6ce078928eed6f89f8dcb37d5690659,"[1664,2432]","[57,9,1535,2419]",1.0,"[1478,2410]","[1488,2418]","[5,4,1481,2414]","[5,4,1481,2414]","[744.0,2414.0]",0.5,0.9983457402812241,16,16,16,16,1473168,2124816,69155,16,"[0,255]",3282.175,[],,mercenary-pixel-convert-1.0.0,d9f65e9f487237e86a6f80df6c266cc1226f40a6935d8f746867e0be08b4e8ce,high,1.35,38191,3144
E:\mercenary-rpg\asset_work\character_sources\SR_sr_mimic_quartermaster_chester_미믹_장비관리관_체스터_0001_transparent.png,SR_sr_mimic_quartermaster_chester_미믹_장비관리관_체스터_0001_transparent.png,4480c78209b37bfdbdf4b13e3f1a292429cd5aec32c4fd07d8d1ca1ee68452df,False,website_master,True,,PASS,,E:\mercenary-rpg\asset_work\character_pixelized\website_master\SR_sr_mimic_quartermaster_chester_미믹_장비관리관_체스터_0001_transparent.png,00dfb4f7512e17342a390d0d0e2f272e8b8f7174223db57d54c326d834fd399b,"[1664,2432]","[214,15,1304,2419]",1.0,"[1090,2404]","[1098,2412]","[4,4,1094,2408]","[4,4,1094,2408]","[549.0,2408.0]",0.5,0.9983416252072969,16,16,16,16,1201320,1447056,41237,16,"[0,255]",2553.7,[],,mercenary-pixel-convert-1.0.0,d9f65e9f487237e86a6f80df6c266cc1226f40a6935d8f746867e0be08b4e8ce,high,1.35,32222,346
E:\mercenary-rpg\asset_work\character_sources\SR_sr_mimic_swordbox_tresia_검상자_트레지아_0002_transparent.png,SR_sr_mimic_swordbox_tresia_검상자_트레지아_0002_transparent.png,4083482a42d592fd53b5ee678e29bca3f1f801f29e69ecb2118675d6cb8448b8,False,website_master,True,,PASS,,E:\mercenary-rpg\asset_work\character_pixelized\website_master\SR_sr_mimic_swordbox_tresia_검상자_트레지아_0002_transparent.png,c87ec07ba93b9ace067c4a89c1469efba8680efd246372faacfca1ed81b6bc28,"[1664,2432]","[28,76,1606,2388]",1.0,"[1578,2312]","[1590,2322]","[6,6,1584,2316]","[6,6,1584,2316]","[795.0,2316.0]",0.5,0.9974160206718347,16,16,16,16,1469628,2222352,42650,16,"[0,255]",3214.191,[],,mercenary-pixel-convert-1.0.0,d9f65e9f487237e86a6f80df6c266cc1226f40a6935d8f746867e0be08b4e8ce,high,1.35,39722,146
E:\mercenary-rpg\asset_work\character_sources\SR_sr_minotaur_enforcer_dorkan_징벌집행관_도르칸_0001_transparent.png,SR_sr_minotaur_enforcer_dorkan_징벌집행관_도르칸_0001_transparent.png,6d7f03ae9a57b40b86e7621e329302151b304c3f44e92819afdc4608dd71b7f5,False,website_master,True,,PASS,,E:\mercenary-rpg\asset_work\character_pixelized\website_master\SR_sr_minotaur_enforcer_dorkan_징벌집행관_도르칸_0001_transparent.png,81dd547277aff56204c2e84459bb46b535abecc811a7d3ef5f5590bd333ef268,"[1664,2432]","[94,42,1582,2393]",1.0,"[1488,2351]","[1500,2364]","[6,9,1494,2360]","[6,9,1494,2360]","[750.0,2360.0]",0.5,0.9983079526226735,16,16,16,16,1988676,1557324,31308,16,"[0,255]",4022.628,[],,mercenary-pixel-convert-1.0.0,d9f65e9f487237e86a6f80df6c266cc1226f40a6935d8f746867e0be08b4e8ce,high,1.35,53280,2477
E:\mercenary-rpg\asset_work\character_sources\SR_sr_minotaur_war_drum_brina_전쟁북수_브리나_0001_transparent.png,SR_sr_minotaur_war_drum_brina_전쟁북수_브리나_0001_transparent.png,f9ff2e3873350f21c32e1d8014799b8fcc1861a5ab1bcadb3a526f2ac1790184,False,website_master,True,,WARNING,,E:\mercenary-rpg\asset_work\character_pixelized\website_master\SR_sr_minotaur_war_drum_brina_전쟁북수_브리나_0001_transparent.png,d5c60c5cf8407660e0dd93a1afb57044aea028a883c141b1f841e1c1fa8fd000,"[1664,2432]","[139,0,1370,2432]",1.0,"[1231,2432]","[1242,2442]","[5,6,1235,2436]","[5,6,1235,2436]","[621.0,2436.0]",0.5,0.9975429975429976,16,16,16,16,1544904,1488060,39597,16,"[0,255]",3056.866,"[""BOUNDING_BOX_TOUCHES_EDGE""]",,mercenary-pixel-convert-1.0.0,d9f65e9f487237e86a6f80df6c266cc1226f40a6935d8f746867e0be08b4e8ce,high,1.35,41092,684
E:\mercenary-rpg\asset_work\character_sources\SR_sr_oni_delinquent_akane_불량_오니_아카네_0001_transparent.png,SR_sr_oni_delinquent_akane_불량_오니_아카네_0001_transparent.png,ef579b69715e708b70152d86256978898eb865f017ac2ffc5df6ff34f627ddc6,False,website_master,True,,WARNING,,E:\mercenary-rpg\asset_work\character_pixelized\website_master\SR_sr_oni_delinquent_akane_불량_오니_아카네_0001_transparent.png,17707c101856b9086ad0167eddb698b42e196e59a3d3a92cd8a2d504c8901693,"[1664,2432]","[32,27,1664,2395]",1.0,"[1632,2368]","[1644,2376]","[6,4,1638,2372]","[6,4,1638,2372]","[822.0,2372.0]",0.5,0.9983164983164983,16,16,16,16,1403292,2502852,35981,16,"[0,255]",2892.601,"[""BOUNDING_BOX_TOUCHES_EDGE""]",,mercenary-pixel-convert-1.0.0,d9f65e9f487237e86a6f80df6c266cc1226f40a6935d8f746867e0be08b4e8ce,high,1.35,37461,987
E:\mercenary-rpg\asset_work\character_sources\SR_sr_oni_thunder_hammer_kazuha_뇌격망치_카즈하_0001_transparent.png,SR_sr_oni_thunder_hammer_kazuha_뇌격망치_카즈하_0001_transparent.png,69f16ad670f37e0f3151dd83b30c44013e12564820b1019740427f9d9935697f,False,website_master,True,,PASS,,E:\mercenary-rpg\asset_work\character_pixelized\website_master\SR_sr_oni_thunder_hammer_kazuha_뇌격망치_카즈하_0001_transparent.png,6217498cfad7c0f05faa259c55d703f8af6de2987b793fd97da6a774234b0e67,"[1664,2432]","[84,37,1608,2412]",1.0,"[1524,2375]","[1536,2388]","[6,9,1530,2384]","[6,9,1530,2384]","[768.0,2384.0]",0.5,0.998324958123953,16,16,16,16,1561074,2106894,62361,16,"[0,255]",3226.77,[],,mercenary-pixel-convert-1.0.0,d9f65e9f487237e86a6f80df6c266cc1226f40a6935d8f746867e0be08b4e8ce,high,1.35,41400,1073
