sourcePath,sourceRelativePath,sourceSha256,sourceHadNoAlpha,preset,preserveSourceDimensions,targetContentHeight,status,skippedReason,outputPath,outputSha256,sourceSize,sourceBoundingBox,scaleRatio,contentSize,outputSize,outputBoundingBox,contentBoundingBox,bottomCenterAnchor,normalizedPivotX,normalizedPivotY,requestedColors,actualColors,requestedPaletteColorCount,actualPaletteColorCount,opaquePixelCount,transparentPixelCount,sourceUniqueColorEstimate,outputUniqueColorCount,alphaValues,elapsedMilliseconds,warningCodes,errorMessage,algorithmVersion,presetConfigHash,saturationPreset,saturationMultiplier,saturationAdjustedPixelCount,saturationClampedPixelCount
E:\mercenary-rpg\asset_work\character_sources\G_g_bearkin_female_001_곰수인_여성_프리셋_001_0001.png,G_g_bearkin_female_001_곰수인_여성_프리셋_001_0001.png,da4a80649b58fb2bca911711e2e80557528a93880959d084562ac458404d8943,True,website_master,True,,WARNING,,E:\mercenary-rpg\asset_work\character_pixelized\website_master\G_g_bearkin_female_001_곰수인_여성_프리셋_001_0001.png,23234911e25985340a5f53ded786dfd4738b468117e4f07936c4510a251c8b82,"[1664,2432]","[0,0,1664,2432]",1.0,"[1664,2432]","[1672,2440]","[4,4,1668,2436]","[4,4,1668,2436]","[836.0,2436.0]",0.5,0.9983606557377049,16,16,16,16,4046848,32832,12340,16,"[0,255]",5510.803,"[""SOURCE_HAS_NO_ALPHA"",""BOUNDING_BOX_TOUCHES_EDGE""]",,mercenary-pixel-convert-1.0.0,608e5fe6add41d055d3f98f55ff1aa3380456f98b90cffedd7100299fa34ba80,high,1.35,67815,975
E:\mercenary-rpg\asset_work\character_sources\G_g_bearkin_male_001_곰수인_남성_프리셋_001_0001.png,G_g_bearkin_male_001_곰수인_남성_프리셋_001_0001.png,3a7ce53ff54397363cda78881bd5b1609ebc335a36c51ee48f879ecd6c0d3598,True,website_master,True,,WARNING,,E:\mercenary-rpg\asset_work\character_pixelized\website_master\G_g_bearkin_male_001_곰수인_남성_프리셋_001_0001.png,db300e5d5ff9a62ff07ed0127f6dfe956b3f8c7fd9a3e8909962c3143a673a7d,"[1664,2432]","[0,0,1664,2432]",1.0,"[1664,2432]","[1672,2440]","[4,4,1668,2436]","[4,4,1668,2436]","[836.0,2436.0]",0.5,0.9983606557377049,16,16,16,16,4046848,32832,18039,16,"[0,255]",5762.099,"[""SOURCE_HAS_NO_ALPHA"",""BOUNDING_BOX_TOUCHES_EDGE""]",,mercenary-pixel-convert-1.0.0,608e5fe6add41d055d3f98f55ff1aa3380456f98b90cffedd7100299fa34ba80,high,1.35,111260,832
E:\mercenary-rpg\asset_work\character_sources\G_g_catkin_female_001_고양이수인_여성_프리셋_001_0001.png,G_g_catkin_female_001_고양이수인_여성_프리셋_001_0001.png,0f87b6d00c538e3a3f9eb18b9b308e3e824ce380817cc6e423baf0990d1ecfd1,True,website_master,True,,WARNING,,E:\mercenary-rpg\asset_work\character_pixelized\website_master\G_g_catkin_female_001_고양이수인_여성_프리셋_001_0001.png,ee6c8f9751ba5e3ec84f74dd332558af907e82cccf4435d78b5008e6bd9d82c7,"[1664,2432]","[0,0,1664,2432]",1.0,"[1664,2432]","[1672,2440]","[4,4,1668,2436]","[4,4,1668,2436]","[836.0,2436.0]",0.5,0.9983606557377049,16,16,16,16,4046848,32832,10132,16,"[0,255]",5515.127,"[""SOURCE_HAS_NO_ALPHA"",""BOUNDING_BOX_TOUCHES_EDGE""]",,mercenary-pixel-convert-1.0.0,608e5fe6add41d055d3f98f55ff1aa3380456f98b90cffedd7100299fa34ba80,high,1.35,50421,999
E:\mercenary-rpg\asset_work\character_sources\G_g_catkin_male_001_고양이수인_남성_프리셋_001_0001.png,G_g_catkin_male_001_고양이수인_남성_프리셋_001_0001.png,11c240756d6202517f8f69e7e974ab1d5e01309affe0f41e3be17f0521d7b7ba,True,website_master,True,,WARNING,,E:\mercenary-rpg\asset_work\character_pixelized\website_master\G_g_catkin_male_001_고양이수인_남성_프리셋_001_0001.png,0857c6676f08c95c862c138efb6b280443b029e4f1f4bbbcd62a4bda73e0b526,"[1664,2432]","[0,0,1664,2432]",1.0,"[1664,2432]","[1672,2440]","[4,4,1668,2436]","[4,4,1668,2436]","[836.0,2436.0]",0.5,0.9983606557377049,16,16,16,16,4046848,32832,12163,16,"[0,255]",5663.617,"[""SOURCE_HAS_NO_ALPHA"",""BOUNDING_BOX_TOUCHES_EDGE""]",,mercenary-pixel-convert-1.0.0,608e5fe6add41d055d3f98f55ff1aa3380456f98b90cffedd7100299fa34ba80,high,1.35,66074,588
E:\mercenary-rpg\asset_work\character_sources\G_g_centaur_female_001_켄타우로스_여성_프리셋_001_0001.png,G_g_centaur_female_001_켄타우로스_여성_프리셋_001_0001.png,9db876a3fef8796afada6f6706aa0bd4bd448b6c0c18aaf3bebad9e02f5c2ccc,True,website_master,True,,WARNING,,E:\mercenary-rpg\asset_work\character_pixelized\website_master\G_g_centaur_female_001_켄타우로스_여성_프리셋_001_0001.png,9987fb1c8973e849343519241e297341e376ed19b4a76d14ebe8678858491491,"[1664,2432]","[0,0,1664,2432]",1.0,"[1664,2432]","[1672,2440]","[4,4,1668,2436]","[4,4,1668,2436]","[836.0,2436.0]",0.5,0.9983606557377049,16,16,16,16,4046848,32832,14781,16,"[0,255]",6615.665,"[""SOURCE_HAS_NO_ALPHA"",""BOUNDING_BOX_TOUCHES_EDGE""]",,mercenary-pixel-convert-1.0.0,608e5fe6add41d055d3f98f55ff1aa3380456f98b90cffedd7100299fa34ba80,high,1.35,81348,1498
E:\mercenary-rpg\asset_work\character_sources\G_g_centaur_male_001_켄타우로스_남성_프리셋_001_0001.png,G_g_centaur_male_001_켄타우로스_남성_프리셋_001_0001.png,9c296d122e68ff9005f77083a27faf0f6d4c273b34321dfbe6b4f86b7a807270,True,website_master,True,,WARNING,,E:\mercenary-rpg\asset_work\character_pixelized\website_master\G_g_centaur_male_001_켄타우로스_남성_프리셋_001_0001.png,8feb0ccf5ce164ee52ee2ba9b974c34e29e6ab7eaec2633326a2c75e80f22784,"[1664,2432]","[0,0,1664,2432]",1.0,"[1664,2432]","[1672,2440]","[4,4,1668,2436]","[4,4,1668,2436]","[836.0,2436.0]",0.5,0.9983606557377049,16,16,16,16,4046848,32832,8551,16,"[0,255]",6663.862,"[""SOURCE_HAS_NO_ALPHA"",""BOUNDING_BOX_TOUCHES_EDGE""]",,mercenary-pixel-convert-1.0.0,608e5fe6add41d055d3f98f55ff1aa3380456f98b90cffedd7100299fa34ba80,high,1.35,76952,1513
E:\mercenary-rpg\asset_work\character_sources\G_g_deerkin_female_001_사슴수인_여성_프리셋_001_0001.png,G_g_deerkin_female_001_사슴수인_여성_프리셋_001_0001.png,82e5af9f27f32f1cd9e46f3f6ecd5f7d8bfac705aeb304283fd1137b3ad6a81d,True,website_master,True,,WARNING,,E:\mercenary-rpg\asset_work\character_pixelized\website_master\G_g_deerkin_female_001_사슴수인_여성_프리셋_001_0001.png,615b6c154eb7434fa66c60e768aefc640f17ff2ba0c6e534907f6c32ffef7510,"[1664,2432]","[0,0,1664,2432]",1.0,"[1664,2432]","[1672,2440]","[4,4,1668,2436]","[4,4,1668,2436]","[836.0,2436.0]",0.5,0.9983606557377049,16,16,16,16,4046848,32832,12042,16,"[0,255]",6936.453,"[""SOURCE_HAS_NO_ALPHA"",""BOUNDING_BOX_TOUCHES_EDGE""]",,mercenary-pixel-convert-1.0.0,608e5fe6add41d055d3f98f55ff1aa3380456f98b90cffedd7100299fa34ba80,high,1.35,50374,435
E:\mercenary-rpg\asset_work\character_sources\G_g_deerkin_male_001_사슴수인_남성_프리셋_001_0001.png,G_g_deerkin_male_001_사슴수인_남성_프리셋_001_0001.png,0a57084147d6cf1f054a017628dd8fa2982a23be5f0f9bd9e37090abf2412a1b,True,website_master,True,,WARNING,,E:\mercenary-rpg\asset_work\character_pixelized\website_master\G_g_deerkin_male_001_사슴수인_남성_프리셋_001_0001.png,2f6954457791614fdce2fe02ea9a3ce334c8294a2220df329bcb91e8003878f1,"[1664,2432]","[0,0,1664,2432]",1.0,"[1664,2432]","[1672,2440]","[4,4,1668,2436]","[4,4,1668,2436]","[836.0,2436.0]",0.5,0.9983606557377049,16,16,16,16,4046848,32832,15461,16,"[0,255]",6899.478,"[""SOURCE_HAS_NO_ALPHA"",""BOUNDING_BOX_TOUCHES_EDGE""]",,mercenary-pixel-convert-1.0.0,608e5fe6add41d055d3f98f55ff1aa3380456f98b90cffedd7100299fa34ba80,high,1.35,79578,458
